Word,Definitions
practical,"relating to what is sensible, real, or useful rather than with ideas or theories"
presence,fact that someone or something is in a particular place
president,"person in charge of a country, company, or organization"
principal,1. most important; main; 2.  the person in charge of a (US) public school
principle,strong belief that influences a person's actions; basic law or belief
print,"to make many copies of a page, magazine, or book"
prison,a place where people who have committed serious crimes are held
turn,"to change the direction of something (e.g., a car)"
professional,"about a job such as a doctor, lawyer, accountant, etc."
property,"things, buildings, or pieces of land owned by someone"
vegetable,a plant that is raised and eaten as food
row,a straight line of people or things; one after another
provision,1. supplies that are needed or wanted; something that is supplied; 2. part of a law or an agreement
sheet,"a large piece of fabric or material that is used to cover something, often a bed"
race,"contest between people, animals, or vehicles, to determine which is the fastest"
rank,to place someone or something in higher or lower position relative to others
ready,prepared to do something
recommendation,suggestion about someone or something being a good choice
water,"clear liquid that forms the seas, rivers, and rain"
reflect,"to bounce back off a surface (e.g., light)"
region,"part of a country, of the world, area, etc."
shirt,a light piece of clothing with sleeves for the upper body
relation,"manner in which people, groups, or countries behave toward one another"
relax,to stop feeling nervous or worried; to rest and do something enjoyable
release,"to allow to leave jail, cage, prison, etc."
relevant,direct related to a subject in a considerable way
which,question word to ask about a person's choice
rely,able to depend on
voter,a person who can vote in an election
represent,to stand in the place or to act the part of
witness,a person who sees something happen
would,"modal verb used to indicate possibility, request, etc."
ring,"to produce a sound from a bell, alarm, or telephone; a piece of jewelry worn on a finger"
write,to make letters and words on paper or a screen
joint,1. (n.) place where two things meet; 2. (adj.) done together
reserve,1. (v) to arrange to use a room or table at a particular time; 2. (n) a store of something
pupil,1. a child or young person who is being taught; a student; 2. the black round part in the center of the eye that lets in light
sample,"to try something to see if you like it (e.g., food)"
scientist,"a person who is trained to gain knowledge by making predictions, testing them, and developing theories"
seat,something on which a person can sit
secret,something that you don't want others to know; private
secretary,an employee who does general office work for another person in the office
security,"things done to protect people, buildings, a country, etc., from harm"
seriously,in a serious way; in a way that shows something is important
session,period of time for doing a particular activity
pitch,1. the level of a sound; 2. a throw of a ball; 3. a speech to sell something; 4. black substance that is sticky when hot and hard when dry
second,2nd; the one following first
hour,60 minutes; one of 24 equal units of time in a day
fault,a bad quality or part of someone or something; responsibility for a mistake or bad situation
shoe,outer covering worn on the foot to protect it usually sold in pairs
shot,"the act of firing a gun, or kicking or throwing a ball at a goal"
god,a being with special powers that cannot be explained by nature
sight,the ability to see 
sign,"something such as a mark or event that shows that something exists, is true, is happening or will happen"
signal,"An action, change, or process that gives information about something"
muscle,a body tissue that can become longer or shorter and moves the body
enterprise,a business or organization
site,"present, former, or future location of something, such as a building"
skin,outer layer of an animal's or human's body
company,a business that sells things or provides services
slowly,done in a way that takes a long time
smile,to show happiness by pulling up the corners of your mouth
symptom,a change in someone or something that shows they have an illness or problem
revolution,"a change in the way a country is governed, usually by violence or war; a complete change"
amendment,"a change, addition, or improvement to something"
carbon,a chemical element (C) found in all living things
square,shape with four sides of equal length sides and four right (90°) angles
cousin,a child of your uncle or aunt
insight,a clear idea about how something works
orange,a color that is a mixture of red and yellow
tournament,a competition made up of a series of games between many competitors
bin,a container for storing things
stock,piece of a business bought in the form of shares
strongly,in a strong manner; in a very serious way
structure,"way something is built, arranged, or organized"
studio,"the building or room where art is made, such as paintings, movies, or music"
style,the particular way something is done or made
emotion,"a feeling such as sadness, anger, or love"
mother,a female who has a child or children
succeed,to finally achieve something that you were trying to achieve
slice,a flat piece of food that has been cut from a bigger piece
disk,a flat round object
resolution,a formal agreement or statement decided by a group of people
suspect, to think that someone may have committed a crime or done something wrong 
switch,to change from one thing to another; a thing you move to change from one thing to another
negotiation,a formal discussion to reach an agreement
welfare,a government program to help poor people
taste,the particular quality of food or drink that can be sensed by a person's mouth
tear,1. (v) to damage something by pulling it apart; 2. (n) drop of salty water from the eye
technology,"use or knowledge of science in industry, engineering, etc."
family,a group of people who are related through blood
television,"device that broadcasts programs, movies, or show"
temperature,"a measure of how hot or cold something is (e.g., the weather)"
theory,idea or set of ideas that try to explain facts or events
species,a group of related animals or plant
dozen,a group of twelve people or things
tie,to join together two ends of string or rope; to join two or more things together with string or rope
phrase,a group of words that forms a unit and expresses a single meaning
tool,"device used to make things (e.g., a hammer or driver)"
touch,"to feel an object with your fingers, etc."
gesture,a hand or body movement that expresses a particular idea or feeling
city,a heavily populated area with many buildings and roads
tradition,"way of thinking, and behaving that was used for a long time"
bell,a hollow metal object shaped like a cup that rings when it is hit
disorder,a lack of organization
troop,group of soldiers; an organized group
true,agreeing with the facts; not false; real or actual
chicken,a large bird that is raised on farms for its eggs and meat
union,organization of people or groups who have a similar interest or particular goal
user,"person that uses a service or thing (e.g., a website)"
variety,particular types of things or persons
convention,"a large meeting of the members of a profession, organization, or who have the same interests"
victim,"person who has suffered from a crime, bad situation, or event"
violence,use of physical force to harm someone or damage something
lot,"A large quantity, or number taken together"
truck,a large road vehicle used to carry things
wake,to stop sleeping; to make someone stop sleeping
mail,"a letter, package, or email"
wear,"to have clothes, glasses, shoes, etc., on your body"
weather,"whether it is raining, sunny, cold, etc., outside"
wed,to marry; to get married
west,the direction where the sun sets; opposite of east
agenda,a list of subjects that people will discuss at a meeting
gaze,a long continuous look at someone or something
far,a long way away
counter,"a long, flat surface in a shop or kitchen where work is done"
passage,"a long, narrow area that connects one place to another"
wood,hard material that trees are made of and is used for building and fuel
heavily,a lot or to a great degree
much,a lot; large amount; a high degree of
writer,"professional who writes books, articles, etc."
aircraft,a machine that can fly
motor,a machine that uses energy to make something work or move
ability,"power, money, knowledge, or skill to do something"
cloud,"a mass of water vapor in the sky, as when it is going to rain"
leather,a material made from the skin of an animal
inch,a measure of length; 1/12 of a foot (2.54 centimeters)
above,in a higher place than something else
abortion,a medical operation to end the time when a female is going to have a baby
motion,a movement; the way something moves
web,a net made by spiders; many things connected together
absolutely,completely; totally; very
minority,a part of a group that is less than half of the whole; a small part
mechanism,a part or a set of parts of a machine that has a particular function
accept,to agree to receive or take something offered
edition,a particular version of something that is sold to the public
access,an entrance to a place; a way in
trail,"a path through the countryside, often where people walk"
circle,a perfectly round shape or a group arranged in that shape
accord,agreement or harmony
account,arrangement with a bank to keep your money for you
day,a period of 24 hours
era,a period of time in history that is special for a particular reason
achieve,"to succeed in doing something good, usually by working hard"
chairman,a person in charge of a meeting
manufacturer,a person or company that makes a product
acquire,to get or earn something by thinking or working
server,a person or thing that brings things to you when asked to
pilot,"a person who controls an airplane, spacecraft, or boat"
act,to behave in a certain way
action,something that a person or thing does
active,moving around a lot or doing many things
actor,"person who acts in the theater, movies, or tv"
actual,"real or existing in fact, not imagined; real"
lover,a person who likes someone or something very strongly
ad,public notice or advertisement
refugee,a person who ran away from his or her country because of war
addition,fact of adding something; thing that is added
additional,further or added
address,exact street location of a place
scholar,a person who studies and knows a lot about a particular subject
researcher,a person who studies something carefully to learn new information
terrorist,a person who uses fear or violence for a political purpose
admit,"to agree that you did something bad, or that something bad is true"
adopt,to take on responsibility for something
adult,person or animal that is fully grown
advance,to move forward in a certain direction
advantage,thing making the chance of success higher
servant,a person who works in another person's house and takes care of them
advertise,"to show how good a product is, to make people buy"
advice,suggestion about what someone should do
critic,"a person whose job is to give opinions about books, movies, or other forms of art"
rival,"a person, team, or organization that competes with another; a competitor"
affair,"event or a set of events, often unpleasant ones"
affect,to do something that changes something else
afford,to have enough money to pay for something
afraid,worried that something bad will happen; scared
advertisement,"a picture, short film, text, etc., that tells people about a product or service"
afternoon,time after 12:00 and before the evening meal
log,a piece of a tree that has been cut
draft,a piece of writing or plan that is not yet finished
drama,a piece of writing that tells a story about a serious subject or an exciting event
agency,business that provides some service for others
laboratory,a place for doing research and experiments
agent,person who can represent and decide for others
pub,a place that sells alcohol and food
shelter,a place to live or stay that protects someone from weather
agree,to have the same opinion as someone else
agreement,when you share the same opinion or reach a decision
resort,a place where people go on holiday
ahead,in or toward the front
aid,to provide things useful or needed by others
aim,act of pointing something at a target
air,mixture of gases around the earth that we breathe
end,a point that marks the limit of something; finish
elderly,"a polite word for 'old', used to describe people"
platform,a raised area for people to stand on
panel,"a rectangular piece of wood, metal, etc., that is a part of something bigger; a group of people who discuss something"
rose,a red flower used to show love
chamber,a room or space inside something used for a special purpose
restriction,a rule or law that limits what people can do
storage,a safe place to keep something until it is needed
clause,"a separate part of a contract, a will, or another legal document"
uniform,a set of clothes that show you are part of a group or school
website,a set of internet pages that give information about a particular person or organization
alone,without anyone or anything else
dish,a shallow container for cooking or serving food
cooperation,a situation where everyone works together to get something done
cat,a small animal of the lion and tiger family with four legs and a tail that is kept as a pet
adjustment,a small change to make something function better
seed,a small object made by a plant from which a new plant can grow; the beginning of something
cigarette,a small paper tube filled with tobacco
alternative,other choices
tip,a small piece of advice; the end of something
chip,a small piece that was broken or taken off something
coin,"a small, flat piece of metal used as money"
amaze,to cause wonder; to surprise completely
gap,a space between two things
magic,a special power that allows impossible things to happen
amount,quantity of something
analysis,careful study to better understand something
mission,a special task or job that is given to a person or group
area,a specific section or space; part of a region
premise,a statement or idea that is accepted as being true and is used for developing other ideas and actions
equation,a statement showing things to be equal
faith,a strong belief that someone or something is honest and good
animal,a living creature that is not a plant or person
announce,"to make a public statement about a plan, decision"
castle,a strong building used in the past to protect people in times of war
annual,"happening once a year, or every year"
bias,a strong feeling not based on facts to believe one thing over another
stake,a strong stick with a pointed end that you push into the ground
fool,a stupid or silly person
emergency,a sudden serious event needing immediate action
chocolate,a sweet brown food made from cocoa beans
democracy,a system of government in which the people of a country can vote to elect who will govern them
anybody,any person; anyone
column,a tall post made of stone or wood used as a support in a building; one of two or more blocks of print that appear next to each other on a page
anyone,any person
professor,a teacher of high rank in a university or college
anyway,a word people use to change the topic of a conversation
apart,separated by an amount of time or space
toy,a thing that children play with
it,a thing that has been previously mentioned
absence,a time when you are not in a place where you should be
apparently,according to what you heard; from what can be seen
appeal,to request a judge or others change a decision
appear,"to be seen, become visible; come into sight"
port,a town or an area of a town next to water where ships arrive and leave from
appreciate,to be thankful for; to value or admire
approach,to get close to reaching something or somewhere
appropriate,right or suitable for some situation or purpose
metal,"a type of hardy material that is usually hard and shiny that can be used to make things, such as iron, gold, or steel"
approve,to have a positive opinion of someone or something
car,a vehicle with four wheels and engine that can carry things
bike,a vehicle with two wheels that a person can ride
plastic,"a very common, light, strong material that can be formed into many different shapes and is made by a chemical process"
argue,to give reasons for or against an idea or point of view
virus,"a very small, basic living thing that causes disease or sickness"
arm,part of your body from your shoulder to your hand
army,large group of soldiers organized to fight in wars
child,"a very young person, between about 2 and 15"
arrest,to use the law to catch and keep people who committed crimes
arrive,to reach the place you are travelling to
article,piece of writing about a particular subject
artist,"a person who is skilled and creative in art, such as a painter"
logic,a way of thinking by using facts and reasoning
blog,a website with regularly updated short articles and opinions about a particular topic
victory,"a win in a war, game, or competition"
assess,to judge something's value or suitability
fence,a wooden or metal structure that separates an area
noun,"a word that refers to a person, place, thing, quality, idea, or action"
poem,"a written composition in verse, not prose"
association,organization of people with the same interest
assume,"to believe, based on the evidence; suppose"
index,a written or printed list of topics or words in a particular order
journal,a written record of subjects or events
cheese,a yellow or white food made from milk
initiative,ability to decide or act upon things yourself without depending on someone else
vision,ability to see things with your eyes
capable,able to do something; can do
attack,"to try to destroy, beat, or injure"
attempt,to try to do something challenging or difficult
attend,to be present at an event
mobile,able to move from one place to another
attention,focus of your thoughts on something
attract,to make someone notice and become interested in
efficient,able to work well without waste
over,above; across; more than; on the other side
suitable,acceptable or right for someone or something
recognition,accepting that something is true or that it exists
luck,"accidental way things happen, often good things"
available,present and able to be used
average,typical or normal; usual; ordinary
avoid,"to prevent from happening, or stay away from"
award,to give a prize for doing something well
aware,knowing or feeling that something exists
report,account of something which gives the necessary facts and information
participation,act of being involved in something
survival,act of continuing to exist when facing difficulty
baby,"very young child, who cannot yet speak"
background,"images, color, or information behind the main one"
limitation,act of controlling or reducing the size of something
opposition,act of disagreeing or trying to stop something
bag,soft container to put things in and carry with you
balance,to make two or more things equal
ball,small round object often used in a game or sport
expansion,act of expanding or becoming bigger
bank,a financial institution that keeps or lends money
acquisition,act of getting something
presentation,act of giving a formal talk about something
assistance,act of helping someone
basic,at the most important or easiest (beginner) level
basis,"starting situation, fact, idea to develop from"
announcement,act of informing people about something publicly
battle,military fight between armies
creation,act of making something
beach,"large area of sand, next to an area of water"
bear,large brown animal with fur that lives in forests
beat,to win against another person or team; defeat
beautiful,having very attractive or appealing physical qualities
registration,act of recording information on an official list
development,act or process of growing bigger or more advanced
involvement,act or process of joining in a particular activity
bed,a piece of furniture that people sleep on
legislation,act or process of writing and passing laws
infection,act or state of becoming infected with a disease
transportation,"act, system, or business of moving people or goods from one place to another"
laughter,action or sound of laughing
behavior,way a person or thing acts; manner
behind,in or toward the back
sanction,action taken to force a country to obey laws
entertainment,"activities that make people have a good time by singing, telling jokes, etc."
belong,to be a member of a particular group and feel welcomed
below,"in a lower position, place, or level"
venture,activity that involves taking chances or risks
game,activity with rules that people play to have fun
work,activity you do in order to make money
benefit,"good result or effect, something advantageous"
real,"actually existing or happening, not imagined"
woman,adult female human being
privilege,advantage or right that is given to only a certain person or group of people
anxious,afraid of what may happen; worried and nervous
beyond,on or to the farther side; in addition to
subsequently,after something else has happened
breath,air you take in and out of your body
beer,alcoholic drink that is made from wheat or grains
universe,all of space and everything in it
bill,piece of paper showing what you have to pay
world,"all the humans, events, activities on the earth"
membership,all the people who belong to a club or group
bird,animal with feathers that uses wings to fly
household,all the people who live in a house; a family
virtually,almost completely
black,color of the sky on a dark night
barely,almost not possible or does not happen
though,"although, despite the fact that"
expenditure,amount of money used during a certain time
block,to stop from going forward or making progress
blood,red liquid in the bodies of people and animals
output,amount of something that is produced
blow,to move something using air
blue,color of the clear sky
board,surface for posting or showing information
boat,small form of transport for traveling on water
body,a person's physical self
quantity,amount or number of something
excess,amount that is more than necessary
story,an account or description of how something happened
man,an adult male human being
compromise,an agreement in which each side must give up some things
discount,an amount of money taken off the usual price of something
layer,an amount of something that is spread over a surface
deficit,an amount that is less than needed
rat,an animal that looks like a large mouse
bottom,lowest part of something; part on which it rests
country,an area of land that is controlled by a government
box,a container with (usually) four straight sides and a lid
boy,a young male person
brain,part of the head that thinks and controls your body
slope,an area of land that is higher on one side than the other
hill,an area of land that is higher than the land around it but smaller than a mountain
county,an area within a country or a state with its own local government
contest,an event in which people try to win
adventure,an exciting and often dangerous experience
brief,short; using few words
adviser,an expert who suggests what someone should do
bright,producing a lot of light
interpretation,an explanation or opinion of the meaning of something
wound,an injury to the body that is caused when something breaks the skin
broad,wide; from the shorter two sides to the other
bid,an offer to pay a particular amount of money for something
brother,a boy or man who shares a parent with you
settlement,an official agreement that ends an argument or fight between people or groups
sequence,an ordered group of related events or things
budget,amount of money planned to be spent on something
creature,animal of any type
hell,any place of pain and suffering
burn,to destroy with fire
unlike,appearing or being different
neighborhood,area of a town or city that people live in
bus,a large road vehicle used for carrying many people
busy,working hard doing something; full of activity
shade,area of darkness where something stops the light
territory,area of land or ocean owned or controlled by a government or person
desert,area of land that has very little water and few plants
zone,area of space used for a particular reason
harbor,area of water protected by land and used by ships
province,area that a country or nation is divided into
dispute,argument between two or more parties about something
camera,"object that takes pictures digitally, or on film"
camp,place where people live for a short time in tents
approximately,around; nearly; almost; about (a number)
naturally,as someone would expect; not surprising
cancer,any growth caused by abnormal cell division
even,as well; too
what,asking for information about someone or something
league,association of sports teams that organizes matches for its members
capacity,"ability to hold, involve or contain people or things"
capital,"main, or major"
along,at a point on a line
ago,at a specified length of time in the past
card,small piece of paper or plastic used as i.d.
before,at a time earlier than the present; previously
career,particular occupation in professional life
soon,at a time not long from now
carefully,in a manner that involves focus and care
always,at all times; in every situation
carry,to hold something and move it to another place
young,at an early stage of existence; not mature
cash,physical money (not credit card or digital)
whenever,at any or every time that
ever,at any time; at all times in the future
originally,at first; in the beginning
meanwhile,at or during the same time; in the meantime
catch,use your hands to stop and hold something flying
category,groups of things that are similar in some way
during,at some point in the course of an event or thing
then,at that time not now
cell,short for 'cellphone'
initially,at the beginning
central,being in the middle
century,period of 100 years
now,at the present time or moment
certain,being sure about something; without doubt
chair,a piece of furniture you sit on when sitting at a table or desk
nowadays,at the present time; now
challenge,an activity you wish to try that may be hard to do
regularly,"at the usual time each day, week, or month"
fascinate,attract or interest greatly
moderate,average in size or amount
chance,possibility that something will happen
out,away from the inside or center
chapter,one of the main sections of a book
character,your personality or nature
charge,to ask for money as a price for a service or goods
tail,back end of an animal's body that sticks out
