Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U)
keep,177,67.41,551
hear,178,67.37,546
system,179,67.36,545
every,180,67.36,545
question,181,67.34,542
during,182,67.32,540
always,183,67.25,531
big,184,67.22,527
set,185,67.21,526
small,186,67.2,525
study,187,67.19,524
follow,188,67.17,521
begin,189,67.14,518
important,190,67.14,518
since,191,67.12,515
run,192,67.08,510
under,193,67.07,509
turn,194,67.07,509
few,195,67.07,509
bring,196,67,502
early,197,66.98,499
hand,198,66.97,497
state,199,66.94,494
move,200,66.93,493
money,201,66.92,492
fact,202,66.86,486
however,203,66.8,479
area,204,66.78,477
provide,205,66.78,476
name,206,66.74,472
read,207,66.73,471
friend,208,66.7,468
month,209,66.7,468
large,210,66.67,464
business,211,66.67,464
without,212,66.64,461
information,213,66.62,459
open,214,66.61,459
order,215,66.59,456
government,216,66.58,455
word,217,66.58,455
issue,218,66.56,453
market,219,66.53,450
pay,220,66.51,447
build,221,66.5,446
hold,222,66.45,442
service,223,66.44,440
against,224,66.39,436
believe,225,66.38,435
second,226,66.36,433
though,227,66.34,430
yes,228,66.33,430
love,229,66.3,427
increase,230,66.28,425
job,231,66.28,425
plan,232,66.28,425
result,233,66.27,424
away,234,66.27,424
example,235,66.24,420
happen,236,66.23,420
offer,237,66.21,418
young,238,66.2,417
close,239,66.19,416
program,240,66.17,414
lead,241,66.13,410
buy,242,66.07,405
understand,243,66.05,403
thank,244,66.01,399
far,245,66,398
today,246,65.94,392
hour,247,65.93,391
student,248,65.92,391
face,249,65.91,390
hope,250,65.89,388
idea,251,65.87,387
cost,252,65.86,386
less,253,65.86,385
room,254,65.85,385
until,255,65.83,383
reason,256,65.83,383
form,257,65.79,379
spend,258,65.78,378
head,259,65.77,378
car,260,65.77,377
learn,261,65.74,375
level,262,65.71,373
person,263,65.66,368
experience,264,65.63,365
once,265,65.62,365
member,266,65.61,364
enough,267,65.6,363
bad,268,65.59,363
city,269,65.59,362
night,270,65.58,361
able,271,65.57,361
support,272,65.55,359
whether,273,65.55,359
line,274,65.54,358
present,275,65.54,358
side,276,65.51,356
quite,277,65.5,354
although,278,65.46,351
sure,279,65.45,351
term,280,65.44,350
least,281,65.44,350
age,282,65.43,349
low,283,65.43,349
speak,284,65.42,348
within,285,65.4,347
process,286,65.4,346
public,287,65.35,343
often,288,65.33,341
train,289,65.29,338
possible,290,65.28,337
actually,291,65.28,337
rather,292,65.27,336
view,293,65.26,336
together,294,65.24,334
consider,295,65.24,334
price,296,65.14,327
parent,297,65.14,326
hard,298,65.12,325
party,299,65.08,322
local,300,65.06,321
control,301,65.05,320
already,302,65.02,318
concern,303,65.02,317
product,304,65.01,317
lose,305,65,316
story,306,64.98,315
almost,307,64.98,315
continue,308,64.96,314
stand,309,64.95,313
whole,310,64.95,313
yet,311,64.95,313
rate,312,64.94,312
care,313,64.93,311
expect,314,64.93,311
effect,315,64.93,311
sort,316,64.92,311
ever,317,64.92,311
anything,318,64.92,310
cause,319,64.9,309
fall,320,64.89,309
deal,321,64.89,309
water,322,64.87,307
send,323,64.86,306
allow,324,64.84,305
soon,325,64.84,304
watch,326,64.8,302
base,327,64.78,300
probably,328,64.75,299
suggest,329,64.74,298
past,330,64.73,297
power,331,64.72,296
test,332,64.71,296
visit,333,64.7,295
center,334,64.7,295
grow,335,64.69,294
nothing,336,64.68,294
return,337,64.68,294
mother,338,64.67,293
walk,339,64.63,291
matter,340,64.63,290
mind,341,64.62,290
value,342,64.61,289
office,343,64.59,288
record,344,64.59,287
stay,345,64.57,286
force,346,64.57,286
stop,347,64.55,285
several,348,64.54,285
light,349,64.53,284
develop,350,64.51,282
remember,351,64.5,282
bit,352,64.49,281
share,353,64.48,281
real,354,64.47,280
answer,355,64.46,279
sit,356,64.44,278
figure,357,64.43,278
letter,358,64.43,277
decide,359,64.41,276
language,360,64.39,275
subject,361,64.35,273
class,362,64.35,272
development,363,64.31,270
town,364,64.31,269
half,365,64.29,269
minute,366,64.28,268
food,367,64.28,268
break,368,64.28,268
clear,369,64.25,266
future,370,64.24,266
either,371,64.24,266
ago,372,64.24,265
per,373,64.24,265
remain,374,64.24,265
top,375,64.23,265
among,376,64.23,265
win,377,64.21,264
color,378,64.2,263
involve,379,64.16,260
reach,380,64.15,260
social,381,64.15,260
period,382,64.13,259
across,383,64.12,258
note,384,64.12,258
history,385,64.12,258
create,386,64.11,258
drive,387,64.11,258
along,388,64.1,257
type,389,64.09,257
sound,390,64.08,256
eye,391,64.07,256
music,392,64.07,255
game,393,64.07,255
political,394,64.06,255
free,395,64.06,255
receive,396,64.05,254
moment,397,64.05,254
sale,398,64.04,254
policy,399,64.04,253
further,400,63.99,251
body,401,63.98,250
require,402,63.97,249
wait,403,63.96,249
general,404,63.95,248
appear,405,63.95,248
toward,406,63.95,248
team,407,63.95,248
easy,408,63.95,248
individual,409,63.95,248
full,410,63.95,248
black,411,63.94,248
sense,412,63.92,247
perhaps,413,63.91,246
add,414,63.89,245
rule,415,63.88,245
pass,416,63.86,243
produce,417,63.86,243
sell,418,63.86,243
short,419,63.81,241
agree,420,63.81,240
law,421,63.79,239
everything,422,63.77,238
research,423,63.75,237
cover,424,63.73,236
paper,425,63.73,236
position,426,63.72,236
near,427,63.72,236
human,428,63.72,235
computer,429,63.72,235
situation,430,63.7,235
staff,431,63.7,234
activity,432,63.68,234
film,433,63.66,232
morning,434,63.65,232
war,435,63.63,231
account,436,63.63,231
shop,437,63.62,230
major,438,63.59,229
someone,439,63.58,228
above,440,63.58,228
design,441,63.58,228
event,442,63.57,228
special,443,63.57,228
sometimes,444,63.57,227
condition,445,63.54,226
carry,446,63.54,226
choose,447,63.53,225
father,448,63.51,225
decision,449,63.51,224
table,450,63.5,224
certain,451,63.49,223
forward,452,63.48,223
main,453,63.48,223
die,454,63.47,222
bear,455,63.45,222
cut,456,63.45,221
describe,457,63.43,220
himself,458,63.42,220
available,459,63.42,220
especially,460,63.42,220
strong,461,63.38,218
rise,462,63.38,218
girl,463,63.37,217
maybe,464,63.37,217
community,465,63.37,217
else,466,63.34,216
particular,467,63.33,215
role,468,63.33,215
join,469,63.33,215
difficult,470,63.32,215
please,471,63.28,213
detail,472,63.28,213
difference,473,63.27,212
action,474,63.21,210
health,475,63.21,209
eat,476,63.19,209
step,477,63.18,208
TRUE,478,63.17,208
phone,479,63.16,207
themselves,480,63.16,207
draw,481,63.15,207
white,482,63.14,206
date,483,63.13,205
practice,484,63.12,205
model,485,63.12,205
raise,486,63.11,205
customer,487,63.11,205
front,488,63.07,203
explain,489,63.06,202
door,490,63.05,202
outside,491,63.02,200
behind,492,63.01,200
economic,493,62.99,199
site,494,62.98,199
approach,495,62.98,199
teacher,496,62.98,199
land,497,62.94,197
charge,498,62.94,197
finally,499,62.93,197
sign,500,62.93,197
claim,501,62.93,196
relationship,502,62.93,196
travel,503,62.91,195
enjoy,504,62.89,195
death,505,62.89,194
nice,506,62.86,193
amount,507,62.86,193
improve,508,62.83,192
picture,509,62.83,192
boy,510,62.83,192
regard,511,62.82,191
organization,512,62.82,191
happy,513,62.81,191
couple,514,62.81,191
act,515,62.8,190
range,516,62.79,190
quality,517,62.78,190
project,518,62.78,190
round,519,62.77,189
opportunity,520,62.76,189
road,521,62.76,189
accord,522,62.74,188
list,523,62.73,187
wish,524,62.73,187
therefore,525,62.72,187
wear,526,62.71,187
fund,527,62.71,187
rest,528,62.71,186
kid,529,62.7,186
industry,530,62.68,185
education,531,62.67,185
measure,532,62.67,185
kill,533,62.65,184
serve,534,62.64,184
likely,535,62.62,183
certainly,536,62.59,182
national,537,62.58,181
itself,538,62.57,181
teach,539,62.57,181
field,540,62.57,181
security,541,62.54,180
air,542,62.53,179
benefit,543,62.53,179
trade,544,62.52,179
risk,545,62.52,179
news,546,62.51,178
standard,547,62.5,178
vote,548,62.49,177
percent,549,62.49,177
focus,550,62.48,177
stage,551,62.47,177
space,552,62.46,176
instead,553,62.46,176
realize,554,62.46,176
usually,555,62.44,175
data,556,62.42,174
single,557,62.41,174
address,558,62.37,173
performance,559,62.36,172
chance,560,62.36,172
accept,561,62.36,172
society,562,62.35,172
technology,563,62.35,172
mention,564,62.35,172
choice,565,62.33,171
save,566,62.33,171
common,567,62.32,170
culture,568,62.29,170
total,569,62.28,169
demand,570,62.27,169
material,571,62.26,168
limit,572,62.25,168
listen,573,62.25,168
due,574,62.23,167
wrong,575,62.23,167
foot,576,62.22,167
effort,577,62.22,167
attention,578,62.21,166
upon,579,62.21,166
check,580,62.2,166
complete,581,62.2,166
lie,582,62.19,166
pick,583,62.19,166
reduce,584,62.19,165
personal,585,62.19,165
ground,586,62.18,165
animal,587,62.17,165
arrive,588,62.17,165
patient,589,62.17,165
current,590,62.15,164
century,591,62.14,163
evidence,592,62.13,163
exist,593,62.13,163
similar,594,62.12,163
fight,595,62.12,163
leader,596,62.12,163
fine,597,62.11,162
street,598,62.11,162
former,599,62.1,162
contact,600,62.09,162
particularly,601,62.09,162
wife,602,62.06,161
sport,603,62.06,161
prepare,604,62.04,160
discuss,605,62.03,160
response,606,62.03,159
voice,607,62.02,159
piece,608,62.01,159
finish,609,62,158
suppose,610,61.97,157
apply,611,61.97,157
president,612,61.97,157
fire,613,61.96,157
compare,614,61.95,157
court,615,61.94,156
police,616,61.93,156
store,617,61.92,156
poor,618,61.92,156
knowledge,619,61.91,155
laugh,620,61.91,155
arm,621,61.9,155
heart,622,61.9,155
source,623,61.9,155
employee,624,61.89,154
manage,625,61.87,154
simply,626,61.86,153
bank,627,61.85,153
firm,628,61.84,153
cell,629,61.84,153
article,630,61.81,152
fast,631,61.8,151
attack,632,61.79,151
foreign,633,61.79,151
surprise,634,61.78,151
feature,635,61.77,150
factor,636,61.77,150
pretty,637,61.76,150
recently,638,61.76,150
affect,639,61.76,150
drop,640,61.75,150
recent,641,61.74,149
relate,642,61.74,149
official,643,61.73,149
financial,644,61.73,149
miss,645,61.72,149
art,646,61.72,149
campaign,647,61.71,148
private,648,61.71,148
pause,649,61.7,148
everyone,650,61.69,148
forget,651,61.68,147
page,652,61.68,147
worry,653,61.68,147
summer,654,61.67,147
drink,655,61.66,147
opinion,656,61.66,147
park,657,61.65,146
represent,658,61.64,146
key,659,61.64,146
inside,660,61.62,145
manager,661,61.6,145
international,662,61.59,144
contain,663,61.58,144
notice,664,61.56,143
wonder,665,61.56,143
nature,666,61.55,143
structure,667,61.55,143
section,668,61.54,142
myself,669,61.53,142
exactly,670,61.52,142
plant,671,61.52,142
paint,672,61.51,142
worker,673,61.5,141
press,674,61.5,141
whatever,675,61.5,141
necessary,676,61.5,141
region,677,61.48,141
growth,678,61.46,140
evening,679,61.46,140
influence,680,61.46,140
respect,681,61.46,140
various,682,61.46,140
catch,683,61.45,140
thus,684,61.43,139
skill,685,61.43,139
attempt,686,61.42,139
son,687,61.42,139
simple,688,61.41,138
medium,689,61.41,138
average,690,61.41,138
stock,691,61.4,138
management,692,61.39,138
character,693,61.38,138
bed,694,61.38,137
hit,695,61.38,137
establish,696,61.37,137
indeed,697,61.36,137
final,698,61.36,137
economy,699,61.35,137
fit,700,61.35,137
guy,701,61.33,136
function,702,61.32,135
yesterday,703,61.32,135
image,704,61.31,135
size,705,61.3,135
behavior,706,61.3,135
addition,707,61.3,135
determine,708,61.29,134
station,709,61.28,134
population,710,61.28,134
fail,711,61.27,134
environment,712,61.27,134
production,713,61.25,133
contract,714,61.24,133
player,715,61.22,132
comment,716,61.22,132
enter,717,61.21,132
occur,718,61.2,132
alone,719,61.2,132
significant,720,61.18,131
drug,721,61.18,131
wall,722,61.17,131
series,723,61.17,131
direct,724,61.16,131
success,725,61.15,130
tomorrow,726,61.14,130
director,727,61.13,130
clearly,728,61.13,130
lack,729,61.12,129
review,730,61.12,129
depend,731,61.1,129
race,732,61.1,129
recognize,733,61.1,129
window,734,61.1,129
purpose,735,61.09,128
department,736,61.09,128
gain,737,61.08,128
tree,738,61.08,128
college,739,61.07,128
argue,740,61.07,128
board,741,61.06,128
holiday,742,61.05,127
mark,743,61.05,127
church,744,61.02,127
machine,745,61.02,126
achieve,746,61.02,126
item,747,61.02,126
prove,748,61.02,126
cent,749,61.02,126
season,750,61.01,126
floor,751,61.01,126
stuff,752,61.01,126
wide,753,61.01,126
anyone,754,61.01,126
method,755,61.01,126
analysis,756,61,126
election,757,60.99,126
military,758,60.99,126
hotel,759,60.99,126
club,760,60.99,126
below,761,60.99,126
movie,762,60.99,126
doctor,763,60.98,125
discussion,764,60.98,125
sorry,765,60.98,125
challenge,766,60.98,125
nation,767,60.96,125
nearly,768,60.96,125
statement,769,60.95,125
link,770,60.95,124
despite,771,60.94,124
introduce,772,60.94,124
advantage,773,60.94,124
ready,774,60.94,124
marry,775,60.93,124
strike,776,60.93,124
mile,777,60.92,124
seek,778,60.92,123
ability,779,60.9,123
unit,780,60.9,123
card,781,60.89,123
hospital,782,60.88,123
quickly,783,60.86,122
interview,784,60.86,122
agreement,785,60.85,122
release,786,60.85,122
tax,787,60.85,122
solution,788,60.85,122
capital,789,60.83,121
popular,790,60.82,121
specific,791,60.82,121
beautiful,792,60.82,121
fear,793,60.81,121
aim,794,60.81,121
television,795,60.81,120
serious,796,60.81,120
target,797,60.8,120
degree,798,60.78,120
pull,799,60.77,120
red,800,60.77,119
husband,801,60.77,119
access,802,60.77,119
movement,803,60.75,119
treat,804,60.74,119
identify,805,60.73,118
loss,806,60.72,118
shall,807,60.72,118
modern,808,60.7,117
pressure,809,60.7,117
bus,810,60.69,117
treatment,811,60.69,117
conference,812,60.68,117
yourself,813,60.67,117
supply,814,60.66,116
village,815,60.65,116
worth,816,60.64,116
natural,817,60.64,116
express,818,60.64,116
indicate,819,60.64,116
attend,820,60.63,116
brother,821,60.63,116
investment,822,60.63,116
score,823,60.62,115
organize,824,60.62,115
trip,825,60.62,115
beyond,826,60.62,115
sleep,827,60.61,115
fish,828,60.6,115
promise,829,60.6,115
potential,830,60.59,115
energy,831,60.59,115
trouble,832,60.59,115
relation,833,60.58,114
touch,834,60.56,114
file,835,60.56,114
middle,836,60.56,114
bar,837,60.55,114
suffer,838,60.55,113
strategy,839,60.55,113
deep,840,60.54,113
except,841,60.54,113
clean,842,60.54,113
tend,843,60.54,113
advance,844,60.54,113
fill,845,60.53,113
star,846,60.52,113
network,847,60.5,112
generally,848,60.5,112
operation,849,60.49,112
match,850,60.47,111
avoid,851,60.47,111
seat,852,60.45,111
throw,853,60.45,111
task,854,60.44,111
normal,855,60.43,110
goal,856,60.42,110
associate,857,60.42,110
blue,858,60.41,110
positive,859,60.4,110
option,860,60.4,110
box,861,60.39,109
huge,862,60.39,109
message,863,60.39,109
instance,864,60.38,109
style,865,60.38,109
refer,866,60.37,109
cold,867,60.36,109
push,868,60.36,109
quarter,869,60.36,109
assume,870,60.34,108
baby,871,60.33,108
successful,872,60.32,108
sing,873,60.32,108
doubt,874,60.32,108
competition,875,60.32,108
theory,876,60.31,108
propose,877,60.31,107
reference,878,60.3,107
argument,879,60.3,107
adult,880,60.3,107
fly,881,60.3,107
document,882,60.29,107
pattern,883,60.29,107
application,884,60.28,107
hot,885,60.28,107
obviously,886,60.28,107
unclear,887,60.27,106
bill,888,60.27,106
search,889,60.26,106
separate,890,60.26,106
central,891,60.26,106
career,892,60.25,106
anyway,893,60.25,106
speech,894,60.24,106
dog,895,60.24,106
officer,896,60.24,106
throughout,897,60.24,106
oil,898,60.22,105
dress,899,60.21,105
profit,900,60.21,105
guess,901,60.2,105
fun,902,60.2,105
protect,903,60.2,105
resource,904,60.19,105
science,905,60.19,104
disease,906,60.19,104
balance,907,60.18,104
damage,908,60.18,104
basis,909,60.18,104
author,910,60.17,104
basic,911,60.17,104
encourage,912,60.16,104
hair,913,60.15,104
male,914,60.15,103
operate,915,60.14,103
reflect,916,60.14,103
exercise,917,60.13,103
useful,918,60.12,103
restaurant,919,60.12,103
income,920,60.12,103
property,921,60.12,103
previous,922,60.12,103
dark,923,60.11,103
imagine,924,60.11,102
okay,925,60.1,102
earn,926,60.09,102
daughter,927,60.09,102
post,928,60.08,102
newspaper,929,60.07,102
define,930,60.06,101
conclusion,931,60.05,101
clock,932,60.05,101
everybody,933,60.05,101
weekend,934,60.04,101
perform,935,60.04,101
professional,936,60.04,101
mine,937,60.04,101
debate,938,60.03,101
memory,939,60.03,101
green,940,60.03,101
song,941,60.02,101
object,942,60,100
maintain,943,60,100
credit,944,59.99,100
ring,945,59.99,100
discover,946,59.97,99
dead,947,59.96,99
afternoon,948,59.96,99
prefer,949,59.96,99
extend,950,59.95,99
possibility,951,59.95,99
direction,952,59.94,99
facility,953,59.94,99
variety,954,59.92,98
daily,955,59.91,98
clothes,956,59.91,98
screen,957,59.9,98
track,958,59.89,98
dance,959,59.89,97
completely,960,59.89,97
female,961,59.88,97
responsibility,962,59.88,97
original,963,59.84,96
sister,964,59.84,96
rock,965,59.84,96
dream,966,59.84,96
nor,967,59.82,96
university,968,59.82,96
easily,969,59.81,96
agency,970,59.81,96
dollar,971,59.8,96
garden,972,59.79,95
fix,973,59.79,95
ahead,974,59.78,95
cross,975,59.78,95
yeah,976,59.77,95
candidate,977,59.74,94
weight,978,59.74,94
legal,979,59.72,94
proposal,980,59.71,94
version,981,59.71,94
conversation,982,59.71,93
somebody,983,59.7,93
pound,984,59.69,93
magazine,985,59.69,93
shape,986,59.69,93
sea,987,59.68,93
immediately,988,59.67,93
welcome,989,59.67,93
smile,990,59.67,93
communication,991,59.67,93
agent,992,59.65,92
traditional,993,59.65,92
replace,994,59.64,92
judge,995,59.64,92
herself,996,59.63,92
suddenly,997,59.63,92
generation,998,59.63,92
estimate,999,59.63,92
favorite,1000,59.62,92
difficulty,1001,59.62,92
purchase,1002,59.61,91
shoot,1003,59.6,91
announce,1004,59.6,91
unless,1005,59.6,91
independent,1006,59.59,91
recommend,1007,59.58,91
survey,1008,59.58,91
majority,1009,59.58,91
stick,1010,59.57,91
request,1011,59.56,90
rich,1012,59.54,90
wind,1013,59.54,90
none,1014,59.53,90
exchange,1015,59.52,90
budget,1016,59.51,89
famous,1017,59.51,89
blood,1018,59.51,89
appropriate,1019,59.51,89
block,1020,59.51,89
warm,1021,59.5,89
count,1022,59.5,89
scene,1023,59.5,89
writer,1024,59.49,89
content,1025,59.49,89
prevent,1026,59.48,89
safe,1027,59.47,89
invite,1028,59.47,88
mix,1029,59.46,88
element,1030,59.45,88
effective,1031,59.45,88
correct,1032,59.45,88
medical,1033,59.43,88
admit,1034,59.42,88
beat,1035,59.42,87
telephone,1036,59.42,87
copy,1037,59.41,87
committee,1038,59.4,87
aware,1039,59.4,87
advice,1040,59.4,87
handle,1041,59.39,87
glass,1042,59.39,87
trial,1043,59.38,87
stress,1044,59.38,87
radio,1045,59.37,86
administration,1046,59.36,86
complex,1047,59.36,86
text,1048,59.35,86
context,1049,59.35,86
ride,1050,59.34,86
directly,1051,59.34,86
heavy,1052,59.34,86
remove,1053,59.33,86
conduct,1054,59.33,86
equipment,1055,59.33,86
otherwise,1056,59.33,86
title,1057,59.32,86
extra,1058,59.31,85
executive,1059,59.31,85
chair,1060,59.31,85
expensive,1061,59.31,85
sample,1062,59.3,85
sex,1063,59.3,85
deliver,1064,59.29,85
video,1065,59.29,85
connection,1066,59.29,85
primary,1067,59.28,85
weather,1068,59.27,85
collect,1069,59.27,84
inform,1070,59.25,84
principle,1071,59.25,84
straight,1072,59.24,84
appeal,1073,59.24,84
highly,1074,59.24,84
trust,1075,59.24,84
wonderful,1076,59.23,84
flat,1077,59.23,84
absolutely,1078,59.22,84
flow,1079,59.22,84
fair,1080,59.22,84
additional,1081,59.21,83
responsible,1082,59.21,83
farm,1083,59.2,83
collection,1084,59.2,83
hang,1085,59.19,83
negative,1086,59.18,83
band,1087,59.18,83
relative,1088,59.17,83
tour,1089,59.17,83
alternative,1090,59.17,83
software,1091,59.17,83
pair,1092,59.16,82
ship,1093,59.16,82
attitude,1094,59.14,82
cheap,1095,59.14,82
double,1096,59.14,82
leg,1097,59.13,82
observe,1098,59.13,82
sentence,1099,59.13,82
print,1100,59.12,82
progress,1101,59.12,82
truth,1102,59.11,82
nobody,1103,59.11,82
examine,1104,59.1,81
lay,1105,59.1,81
speed,1106,59.09,81
politics,1107,59.09,81
reply,1108,59.08,81
display,1109,59.08,81
transfer,1110,59.08,81
perfect,1111,59.07,81
slightly,1112,59.07,81
overall,1113,59.07,81
intend,1114,59.06,80
user,1115,59.05,80
respond,1116,59.05,80
dinner,1117,59.04,80
slow,1118,59.04,80
regular,1119,59.04,80
physical,1120,59.04,80
apart,1121,59.02,80
suit,1122,59.01,80
federal,1123,59.01,80
reveal,1124,59.01,80
percentage,1125,59,79
peace,1126,58.99,79
status,1127,58.99,79
crime,1128,58.98,79
decline,1129,58.97,79
decade,1130,58.97,79
launch,1131,58.97,79
warn,1132,58.96,79
consumer,1133,58.96,79
favor,1134,58.96,79
dry,1135,58.95,78
partner,1136,58.95,78
institution,1137,58.95,78
spot,1138,58.94,78
horse,1139,58.94,78
eventually,1140,58.93,78
heat,1141,58.93,78
excite,1142,58.92,78
reader,1143,58.92,78
importance,1144,58.91,78
distance,1145,58.9,78
guide,1146,58.9,78
grant,1147,58.9,78
taxi,1148,58.89,77
feed,1149,58.89,77
pain,1150,58.89,77
sector,1151,58.87,77
mistake,1152,58.87,77
ensure,1153,58.86,77
satisfy,1154,58.85,77
chief,1155,58.85,77
cool,1156,58.85,77
expert,1157,58.84,77
wave,1158,58.84,77
south,1159,58.84,77
labor,1160,58.83,76
surface,1161,58.83,76
library,1162,58.82,76
excellent,1163,58.81,76
edge,1164,58.81,76
camp,1165,58.81,76
audience,1166,58.8,76
lift,1167,58.8,76
procedure,1168,58.79,76
email,1169,58.79,76
global,1170,58.79,76
struggle,1171,58.79,76
advertise,1172,58.77,75
select,1173,58.76,75
surround,1174,58.75,75
extent,1175,58.74,75
river,1176,58.73,75
annual,1177,58.73,75
fully,1178,58.73,75
contrast,1179,58.72,75
roll,1180,58.71,74
reality,1181,58.71,74
photograph,1182,58.7,74
artist,1183,58.69,74
conflict,1184,58.69,74
entire,1185,58.69,74
presence,1186,58.69,74
crowd,1187,58.69,74
corner,1188,58.69,74
gas,1189,58.69,74
shift,1190,58.68,74
net,1191,58.68,74
category,1192,58.68,74
secretary,1193,58.68,74
defense,1194,58.68,74
quick,1195,58.67,74
cook,1196,58.67,74
spread,1197,58.66,73
nuclear,1198,58.66,73
scale,1199,58.66,73
driver,1200,58.66,73
ball,1201,58.65,73
cry,1202,58.64,73
introduction,1203,58.63,73
requirement,1204,58.63,73
north,1205,58.62,73
confirm,1206,58.62,73
senior,1207,58.6,72
photo,1208,58.59,72
refuse,1209,58.59,72
transport,1210,58.58,72
emerge,1211,58.58,72
map,1212,58.58,72
concept,1213,58.58,72
island,1214,58.57,72
reform,1215,58.57,72
neither,1216,58.57,72
football,1217,58.56,72
survive,1218,58.56,72
flight,1219,58.55,72
left,1220,58.55,72
solve,1221,58.54,72
neighbor,1222,58.54,72
background,1223,58.54,71
technique,1224,58.54,71
traffic,1225,58.54,71
improvement,1226,58.53,71
tool,1227,58.52,71
consequence,1228,58.52,71
circumstance,1229,58.52,71
smoke,1230,58.52,71
reaction,1231,58.52,71
rain,1232,58.52,71
busy,1233,58.51,71
lesson,1234,58.51,71
brain,1235,58.5,71
mass,1236,58.5,71
funny,1237,58.49,71
contribute,1238,58.49,71
failure,1239,58.49,71
schedule,1240,58.48,71
speaker,1241,58.48,70
bottom,1242,58.47,70
adopt,1243,58.47,70
combine,1244,58.47,70
mountain,1245,58.46,70
waste,1246,58.46,70
hide,1247,58.45,70
marriage,1248,58.45,70
ticket,1249,58.45,70
meal,1250,58.45,70
colleague,1251,58.45,70
bag,1252,58.45,70
repeat,1253,58.44,70
equal,1254,58.43,70
expression,1255,58.43,70
plus,1256,58.43,70
extremely,1257,58.43,70
owner,1258,58.42,70
plane,1259,58.42,69
commercial,1260,58.41,69
lady,1261,58.39,69
